"educ","age_grp","gender","Freq"
"1","2","1",19902000
"1","2","2",15602000
"1","3","1",17114000
"1","3","2",15167000
"1","4","1",8960000
"1","4","2",10869000
"1","5","1",4101000
"1","5","2",6641000
"2","2","1",14857000
"2","2","2",16092000
"2","3","1",10141000
"2","3","2",12037000
"2","4","1",5789000
"2","4","2",7190000
"2","5","1",1803000
"2","5","2",2604000
"3","2","1",8909000
"3","2","2",10566000
"3","3","1",8289000
"3","3","2",9425000
"3","4","1",4575000
"3","4","2",4685000
"3","5","1",1451000
"3","5","2",1467000
"4","2","1",3581000
"4","2","2",4922000
"4","3","1",5065000
"4","3","2",5897000
"4","4","1",3496000
"4","4","2",3133000
"4","5","1",1141000
"4","5","2",856000
